,name,total_pop,median_income,state,county,county_name,state_name,prop_white,prop_black,prop_hisp,prop_no_internet,prop_ba,prop_services,pop_density,covid_cases,Testing_Rate,gov_party,election_diff,state_abbr,Apr-19,Mar-19,Feb-20,Mar-20
0,"Washington County, Mississippi",47086,30834.0,28,151,Washington,Mississippi,0.2569128828101771,0.72170071783545,0.015482308966571805,0.13095187529201885,0.07382236758272098,0.03648642908720214,62.178441251,77.0,2291.374085298248,Republican,-0.36469539375928683,MS,6.4,7.5,7.4,7
1,"Perry County, Mississippi",12028,39007.0,28,111,Perry,Mississippi,0.7877452610575324,0.1968739607582308,0.01504822081809112,0.11764216827402726,0.05769870302627203,0.03009644163618224,18.434582577,27.0,2291.374085298248,Republican,0.5366347569955817,MS,5.7,6.2,6.8,6.3
2,"Choctaw County, Mississippi",8321,37203.0,28,019,Choctaw,Mississippi,0.6767215478908785,0.3119817329647879,0.003965869486840524,0.14024756639826944,0.07511116452349477,0.005287825982454032,19.794546329,13.0,2291.374085298248,Republican,0.38622386223862243,MS,4.8,5.3,5.4,5
3,"Itawamba County, Mississippi",23480,40510.0,28,057,Itawamba,Mississippi,0.9091141396933561,0.07159284497444633,0.015332197614991482,0.08390119250425894,0.056942078364565586,0.02329642248722317,44.138916006,57.0,2291.374085298248,Republican,0.7551607271233439,MS,4.1,4.4,4.7,4.7
4,"Carroll County, Mississippi",10129,43060.0,28,015,Carroll,Mississippi,0.643992496791391,0.34583868101490767,0.0028630664428867607,0.12024879060124395,0.06831868891302202,0.019646559383947083,15.774562765,38.0,2291.374085298248,Republican,0.3833212735166426,MS,5.5,5.8,6.2,6
5,"Grenada County, Mississippi",21278,36877.0,28,043,Grenada,Mississippi,0.5515555973305761,0.43415734561518937,0.006579565748660588,0.12534072751198422,0.08384246639721778,0.024626374659272487,49.878937218,28.0,2291.374085298248,Republican,0.14705602587272903,MS,4.3,4.6,4.8,4.7
6,"Jefferson County, Mississippi",7346,20188.0,28,063,Jefferson,Mississippi,0.13326980669752247,0.8589708684998639,0.0038115981486523277,0.13081949360196024,0.037026953444051186,0.007759324802613667,13.667142244,18.0,2291.374085298248,Republican,-0.7375647668393782,MS,11.3,13.7,13.9,12.5
7,"Jefferson County, Mississippi",7346,20188.0,28,063,Jefferson,Mississippi,0.13326980669752247,0.8589708684998639,0.0038115981486523277,0.13081949360196024,0.037026953444051186,0.007759324802613667,13.667142244,18.0,2291.374085298248,Republican,-0.7375647668393782,MS,5.6,6.3,6.7,6.2
8,"Greene County, Mississippi",13714,49447.0,28,041,Greene,Mississippi,0.7331194399883331,0.2549219775411988,0.01181274609887706,0.08268922269213942,0.04462592970686889,0.009479364153419862,19.061747766,5.0,2291.374085298248,Republican,0.6260011175265413,MS,6.3,6.8,8,6.9
9,"Marshall County, Mississippi",35787,41572.0,28,093,Marshall,Mississippi,0.4933914549976248,0.47877720960125186,0.03579512113337245,0.1363903093302037,0.06857238662083998,0.020622013580350408,50.200712215,43.0,2291.374085298248,Republican,-0.09677201967787591,MS,4.9,5.1,5.3,5.1
10,"Quitman County, Mississippi",7372,25510.0,28,119,Quitman,Mississippi,0.2749593054801953,0.7164948453608248,0.014514378730330983,0.18922951709169833,0.051275094953879545,0.04652740097666848,17.409371977,14.0,2291.374085298248,Republican,-0.38959881129271917,MS,6.6,7.8,7.8,7
11,"Bolivar County, Mississippi",32592,29912.0,28,011,Bolivar,Mississippi,0.3314617083946981,0.6425196367206677,0.02150834560628375,0.15163230240549827,0.09137211585665193,0.026693667157584682,35.741294251,102.0,2291.374085298248,Republican,-0.3223379629629629,MS,5.7,6.3,7.1,6.8
12,"Lamar County, Mississippi",61223,58188.0,28,073,Lamar,Mississippi,0.7638142528134851,0.19992486483837774,0.026150302990706108,0.05439132352220571,0.1461542230860951,0.035378860885614885,125.73020322,103.0,2291.374085298248,Republican,0.551439492517892,MS,3.8,4,4.1,4
13,"Lee County, Mississippi",84915,47978.0,28,081,Lee,Mississippi,0.6757227816051345,0.29032561973738447,0.026238002708590943,0.08643938055702761,0.10092445386563034,0.037260790201966675,189.35839462,69.0,2291.374085298248,Republican,0.37040075350165585,MS,3.9,4.1,4.1,4.1
14,"Pike County, Mississippi",39737,30910.0,28,113,Pike,Mississippi,0.44530286634622646,0.5350932380401138,0.017263507562221607,0.15164707954802828,0.06543020358859501,0.033369403830183456,96.726905065,148.0,2291.374085298248,Republican,-0.0020846106683016785,MS,5.6,6,5.9,5.9
15,"Tallahatchie County, Mississippi",14361,30028.0,28,135,Tallahatchie,Mississippi,0.35387507833716314,0.4936285773971172,0.1377341410765267,0.13571478309309937,0.0529907388064898,0.018592020054313766,21.677911331,11.0,2291.374085298248,Republican,-0.14906303236797275,MS,4.7,5.7,6.4,5.8
16,"Smith County, Mississippi",16063,41657.0,28,129,Smith,Mississippi,0.7583888439270373,0.23071655357031687,0.016808815289796428,0.15787835398119904,0.04544605615389404,0.011268131731307975,25.149785784,74.0,2291.374085298248,Republican,0.5652287924478825,MS,4.6,5,5.3,4.7
17,"Stone County, Mississippi",18375,44883.0,28,131,Stone,Mississippi,0.7822040816326531,0.19287074829931972,0.020299319727891157,0.08974149659863946,0.06536054421768707,0.053224489795918366,42.014907461,22.0,2291.374085298248,Republican,0.5298793470546487,MS,5.7,5.9,5.8,6
18,"Warren County, Mississippi",47075,43039.0,28,149,Warren,Mississippi,0.48558682952735,0.49151354221986193,0.021731279872543814,0.09393520977164099,0.09380775358470526,0.05907594264471588,78.461616584,68.0,2291.374085298248,Republican,0.024876390605685972,MS,5.2,5.8,5.3,5.2
19,"Clarke County, Mississippi",15928,39246.0,28,023,Clarke,Mississippi,0.6349196383726771,0.35760924158714213,0.004143646408839779,0.14414866901054746,0.05468357609241587,0.013812154696132596,22.562911245,54.0,2291.374085298248,Republican,0.3275574380695674,MS,5.7,5.6,6.2,6
20,"Kemper County, Mississippi",10107,28176.0,28,069,Kemper,Mississippi,0.35331948154744236,0.6090828138913624,0.013060255268625705,0.1626595428910656,0.045611952112397346,0.03581676066092807,13.086962804,57.0,2291.374085298248,Republican,-0.22612632032765684,MS,6.9,6.7,7.3,7.6
21,"Montgomery County, Mississippi",10198,33667.0,28,097,Montgomery,Mississippi,0.5293194744067464,0.4342027848597764,0.013237889782310257,0.13502647577956461,0.10011767013139831,0.03392822121984703,24.627713178,28.0,2291.374085298248,Republican,0.14071257005604487,MS,5.3,5.7,6.1,5.7
22,"Oktibbeha County, Mississippi",49481,38800.0,28,105,Oktibbeha,Mississippi,0.5767466300196035,0.3707281582829773,0.016531597987106163,0.06707625149047108,0.10935510600028293,0.0540207352317051,108.23844951,51.0,2291.374085298248,Republican,-0.015614654601633193,MS,4.9,4.9,4.9,5.1
